Timestamp,Tần suất sử dụng AI Assistant trên VLearn,Thời gian trung bình bạn sử dụng để ôn tập lại bài giảng sau giờ học,"Sau khi kết thúc một buổi học, bạn thường gặp khó khăn nào nhất?
Chọn tối đa 3","Khi bạn không hiểu một nội dung trên lớp, bạn thường làm gì đầu tiên?","Điều gì khiến bạn khó hỏi lại khi không hiểu bài?
Chọn tối đa 2",Bạn thường tự kiểm tra xem mình có thực sự nhớ/hiểu bài sau buổi học không?,"Khi tự ôn bài, hoạt động nào bạn thường sử dụng?
Chọn nhiều"
9/16/2026 19:21:34,5 đến 10 lần,Từ 20p - 1h,"Quên kiến thức sau một thời gian ngắn, Không biết nên ôn lại phần nào, Không biết bắt đầu học/ôn từ đâu",Hỏi AI,"Không biết diễn đạt câu hỏi, Giảng viên không có thời gian giải thích lại",Thường xuyên,"Làm bài tập, Làm quiz/câu hỏi trắc nghiệm"
9/16/2026 19:21:44,5 đến 10 lần,dưới 20p,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Không biết nên ôn lại phần nào, Không biết bắt đầu học/ôn từ đâu, Gặp bài tập nhưng không biết áp dụng kiến thức nào, Có câu hỏi nhưng ngại/không biết hỏi ai, Đọc lại slide/material nhưng vẫn không hiểu",Hỏi AI,"Ngại hỏi giảng viên, Sợ câu hỏi quá cơ bản, Không biết diễn đạt câu hỏi, Giảng viên không có thời gian giải thích lại, Bạn bè cũng không chắc câu trả lời",Luôn luôn,"Đọc lại slide, Đọc textbook/tài liệu, Làm bài tập, Làm quiz/câu hỏi trắc nghiệm, Flashcard, Hỏi AI"
9/16/2026 19:22:13,Chưa sử dụng,dưới 20p,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Không biết nên ôn lại phần nào",Hỏi giảng viên,"Bạn bè cũng không chắc câu trả lời, AI hiện tại trả lời nhưng tôi không biết câu trả lời có đúng không",Thường xuyên,"Đọc lại slide, Đọc textbook/tài liệu, Làm bài tập, Làm quiz/câu hỏi trắc nghiệm"
9/16/2026 19:22:28,Chưa sử dụng,dưới 20p,"Không biết mình thực sự đã hiểu bài đến đâu, Không biết nên ôn lại phần nào, Có câu hỏi nhưng ngại/không biết hỏi ai, Khó tự kiểm tra xem mình có nhớ kiến thức không",Hỏi bạn bè,"Giảng viên không có thời gian giải thích lại, Bạn bè cũng không chắc câu trả lời",Thỉnh thoảng,"Đọc lại slide, Hỏi AI, Thảo luận với bạn bè"
9/16/2026 19:22:40,5 đến 10 lần,dưới 20p,"Quên kiến thức sau một thời gian ngắn, Không biết nên ôn lại phần nào, Không biết bắt đầu học/ôn từ đâu, Gặp bài tập nhưng không biết áp dụng kiến thức nào, Có câu hỏi nhưng ngại/không biết hỏi ai",Hỏi giảng viên,"Sợ câu hỏi quá cơ bản, Giảng viên không có thời gian giải thích lại, Bạn bè cũng không chắc câu trả lời, AI hiện tại trả lời nhưng tôi không biết câu trả lời có đúng không",Thường xuyên,"Đọc textbook/tài liệu, Làm bài tập, Làm quiz/câu hỏi trắc nghiệm, Flashcard"
9/16/2026 19:23:21,Chưa sử dụng,dưới 20p,"Gặp bài tập nhưng không biết áp dụng kiến thức nào, Có câu hỏi nhưng ngại/không biết hỏi ai, Đọc lại slide/material nhưng vẫn không hiểu",Hỏi AI,"Sợ câu hỏi quá cơ bản, Không biết diễn đạt câu hỏi",Luôn luôn,Đọc lại slide
9/16/2026 19:23:47,< 5 lần,Từ 20p - 1h,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Không biết nên ôn lại phần nào",Hỏi AI,"Sợ câu hỏi quá cơ bản, Không biết diễn đạt câu hỏi",Luôn luôn,"Đọc lại slide, Đọc textbook/tài liệu, Làm bài tập"
9/16/2026 19:24:03,< 5 lần,Từ 20p - 1h,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Không biết nên ôn lại phần nào, Không biết bắt đầu học/ôn từ đâu, Gặp bài tập nhưng không biết áp dụng kiến thức nào, Có câu hỏi nhưng ngại/không biết hỏi ai, Đọc lại slide/material nhưng vẫn không hiểu, Khó tự kiểm tra xem mình có nhớ kiến thức không",Hỏi AI,"Ngại hỏi giảng viên, Sợ câu hỏi quá cơ bản, Không biết diễn đạt câu hỏi, Giảng viên không có thời gian giải thích lại, Bạn bè cũng không chắc câu trả lời, AI hiện tại trả lời nhưng tôi không biết câu trả lời có đúng không",Thỉnh thoảng,"Đọc lại slide, Đọc textbook/tài liệu, Làm bài tập, Làm quiz/câu hỏi trắc nghiệm, Flashcard, Hỏi AI, Thảo luận với bạn bè"
9/16/2026 19:24:30,5 đến 10 lần,Từ 20p - 1h,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Gặp bài tập nhưng không biết áp dụng kiến thức nào",Hỏi giảng viên,"Ngại hỏi giảng viên, Sợ câu hỏi quá cơ bản, AI hiện tại trả lời nhưng tôi không biết câu trả lời có đúng không",Thỉnh thoảng,Đọc lại slide
9/16/2026 19:24:32,5 đến 10 lần,dưới 20p,"Không biết mình thực sự đã hiểu bài đến đâu, Quên kiến thức sau một thời gian ngắn, Không biết nên ôn lại phần nào, Không biết bắt đầu học/ôn từ đâu, Gặp bài tập nhưng không biết áp dụng kiến thức nào, Có câu hỏi nhưng ngại/không biết hỏi ai, Đọc lại slide/material nhưng vẫn không hiểu, Khó tự kiểm tra xem mình có nhớ kiến thức không",Hỏi AI,"Giảng viên không có thời gian giải thích lại, Bạn bè cũng không chắc câu trả lời",Luôn luôn,"Đọc lại slide, Đọc textbook/tài liệu, Làm bài tập, Làm quiz/câu hỏi trắc nghiệm, Flashcard, Hỏi AI, Thảo luận với bạn bè"
